NO,KD_CAB,JENIS_KANTOR,KLASIFIKASI,NAMA_KANTOR,STATUS
73,255,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS TIGA PANAH,AKTIF
74,256,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM LAU BALENG,AKTIF
75,257,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SIBOLANGIT,AKTIF
76,260,CABANG,CABANG KELAS 1,CABANG KISARAN,AKTIF
77,263,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM BANDAR PASIR MANDOGE,AKTIF
78,264,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3 MIKRO,CAPEM PASAR DIPONEGORO,AKTIF
79,265,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM AIR JOMAN,AKTIF
80,266,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM COKROAMINOTO,AKTIF
81,267,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM UJUNG PADANG,AKTIF
82,269,KANTOR KAS,CABANG PEMBANTU KELAS 4,CAPEM MPP KABUPATEN ASAHAN,AKTIF
83,270,CABANG,CABANG KELAS 1,CABANG GUNUNG SITOLI,AKTIF
84,272,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM LOTU,AKTIF
85,273,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM LAHOMI,AKTIF
86,276,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM GIDO,AKTIF
87,277,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM LAHEWA,AKTIF
88,280,CABANG,CABANG KELAS 2,CABANG SIDIKALANG,AKTIF
89,281,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 1,CAPEM SALAK,AKTIF
90,282,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM TIGALINGGA,AKTIF
91,283,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SUMBUL,AKTIF
92,284,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3 MIKRO,CAPEM PASAR SIDIKALANG,AKTIF
93,285,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PARONGIL,AKTIF
94,290,CABANG,CABANG KELAS 2,CABANG SIBOLGA,AKTIF
